Species,Female body mass (g),Sexual size dimorphism,Home range size (km2) ,Gestation length (d),Litter size,% leaves in natural diet,Substrate use,Malagasy origin (yes.no),Mid-latitude,Latitude range,Mean temperature (°),Mean precipitation (mm),Seasonality natural habitat,Seasonality natural habitat_2,Seasonality zoo,Changer status (0/1),Seasonality natural habitat,Seasonality zoo, Changer category (0/1/2),r-vector,Birth peak breadth,N
Saguinus labiatus,529,0.9,0.19,144.2,1.84,0,0,0,-6.4,9.33,25.68,168.04,1,,4,1,1,2,1,NA,265,1314
Saguinus leucopus,525,1.01,0.64,142.5,2,0,0,0,6.3,4.96,23.11,143.66,2,,5,1,1,3,2,NA,250,97
Saguinus midas,535,0.96,0.05,138.2,2.02,0,0,0,-0.17,16.39,25.28,160.68,2,,5,1,1,3,2,NA,285,1632
Saguinus mystax,445,1.13,0.21,148.3,1.93,0,0,0,-6.23,7.17,25.64,194.85,4,,5,0,2,3,1,NA,265,209
Saguinus oedipus,404,1.03,0.06,166.5,1.9,0,0,0,9.22,3.6,26.34,120.29,3,2,4,0,2,2,0,NA,270,8037
Saimiri boliviensis,800,1.25,3.75,157.8,1.02,0,0,0,-11.05,16.7,24.29,171.5,1,2,3,1,1,2,1,NA,140,2906
Saimiri sciureus,635,1.17,0.68,164.1,1,0,0,0,-0.64,16.52,25.3,186.86,1,2,4,1,1,2,1,NA,230,4179
Sapajus apella,2350,1.51,0.88,155,1.05,16,0,0,-10.77,35.78,24.12,154.19,4,,4,0,2,2,0,0.66,225,2396
Sapajus libidinosus,2117,1.57,3,167.8,1,10,0,0,-18.08,7.83,24.42,115.7,3,,4,0,2,2,0,NA,215,120
Sapajus nigritus,2215,1.47,1.47,153,1,28,0,0,-23.1,13.39,18.98,126.58,2,3,3,0,1,3,1,NA,150,58
Sapajus xanthosternos,2350,1.45,7.09,165,1,10,0,0,-14.09,2.14,21.66,116.23,4,,4,0,2,2,1,NA,205,268
Semnopithecus entellus,12800,1.42,1.3,197.7,1.02,55,1,0,23.49,12.92,25.4,78.82,2,4,5,1,1,3,2,0.86,265,546
Semnopithecus priam,11150,1.36,1.55,184,1.02,48,1,0,9.91,8,26.88,107.23,5,,5,0,3,3,0,NA,260,95
Semnopithecus vetulus,6525,1.06,0.02,204.7,1.01,45,0,0,8.03,3.59,25.75,143.41,3,,5,1,2,3,1,0.5,260,91
Symphalangus syndactylus,10700,1.02,0.22,230.7,1.02,45,0,0,0.14,11.01,24.17,226.72,NA,,5,NA,NA,3,NA,NA,285,928
Tarsius syrichta,120,1.18,0.01,178,1.01,0,0,0,9.07,7.03,24.11,183.1,3,,5,1,2,3,1,NA,205,58
Theropithecus gelada,11050,1.67,1.16,178.6,1.01,0,1,0,10.95,6.49,17.34,92.49,4,,4,0,2,2,0,0.09,255,728
Trachypithecus auratus,9807,1.09,0.03,183.4,1.01,52,0,0,-7.41,3.09,24.44,201.2,5,,5,0,3,3,0,NA,280,733
Trachypithecus cristatus,5700,1.16,0.12,198.3,1.01,91,0,0,0.54,12.97,25.03,242.86,NA,,5,NA,NA,3,NA,NA,280,272
Trachypithecus francoisi,6700,1.06,0.17,184,1.01,67,0,0,22.9,11.38,18.75,123.18,NA,,5,NA,NA,3,NA,NA,280,321
Trachypithecus obscurus,6800,1.12,0.18,146.6,1.01,53,0,0,6.82,11.12,25.5,201.98,NA,,5,NA,NA,3,NA,NA,280,361
Varecia rubra*,3470,1.02,0.25,102,3,12,0,1,-15.44,1.11,22.33,176.31,1,,1,0,1,3,0,NA,55,1801
Varecia variegata*,3700,0.97,1.39,102.5,2.16,9,0,1,-19.18,8.15,19.9,188.58,1,2,1,0,1,3,0,NA,60,3931
